desc_id,model,layer,unit,desc_idx,description,auc,mad,p_value
gpt2-xl_L0_U3057_D1,gpt2-xl,0,3057,1,"Integrated Lights Out Management (ILOM), operating systems, computer hardware, software, virtual and augmented reality, academic assignments, system on modules, directional drilling, telemetry, microneedling, magic, cosmology experiments, web design, network attached storage, telephones, yoga instruction, International Mobile Equipment Identity (IMEI) numbers and phone accessories, date and time stamps, social media marketing",0.8348,0.907472726473246,0.0002653210718136
gpt2-xl_L0_U3057_D2,gpt2-xl,0,3057,2,"Textile material, food and beverage, medicinal substances",0.7454999999999999,0.5957656374651257,0.0074929502371179
gpt2-xl_L0_U3057_D3,gpt2-xl,0,3057,3,"Nuclear contamination, addiction, monetary costs, religious events, mutation of microbes, mental health, and athletics",0.5949,0.20075038654509,0.3014346413382515
gpt2-xl_L0_U3057_D4,gpt2-xl,0,3057,4,"Automotive, music, home appliances, geography, history, biology, and recreational areas, especially when mentioned alongside brands, models, products, or locations",0.5116,0.0040626046004923,0.8998635506618717
gpt2-xl_L0_U3057_D5,gpt2-xl,0,3057,5,"Medical, administrative or scientific domains related to education, improvement or a professional organization",0.4205,-0.2553446420767454,0.3867186317517005
gpt2-xl_L0_U3124_D1,gpt2-xl,0,3124,1,Human gene expression profiles,0.9996,17.50948102382977,5.2554338698023835e-08
gpt2-xl_L0_U3124_D2,gpt2-xl,0,3124,2,"Recent events, experiences, or summaries, often involving personal reflections or specific locations",0.126,-0.5199665503070433,4.619840669867255e-05
gpt2-xl_L0_U3124_D3,gpt2-xl,0,3124,3,"Sleeping, merchandise, and promotional items",0.0202,-0.801374538789483,1.7253458170022379e-07
gpt2-xl_L0_U3124_D4,gpt2-xl,0,3124,4,"Proper nouns, often people's names, in contexts of competitions, scandals, or events, especially when related to games, sports, politics, or entertainment",0.0094,-0.8673117276855803,9.072092372140264e-08
gpt2-xl_L0_U3124_D5,gpt2-xl,0,3124,5,"Aspects of scoring systems in competitive events, especially those involving proficiency, ranking, and different categories of participation",0.0014,-1.0170794936757894,5.586672001449357e-08
gpt2-xl_L0_U3279_D1,gpt2-xl,0,3279,1,"Questions about abstract religious concepts, proper behavior, and uncertainty about having achieved them",0.9124,1.5237261288718391,7.041600641814701e-06
gpt2-xl_L0_U3279_D2,gpt2-xl,0,3279,2,"Activities involving hobbies or everyday tasks, often with a focus on personal experiences and specific details",0.8751,1.19936663428533,4.387696905993727e-05
gpt2-xl_L0_U3279_D3,gpt2-xl,0,3279,3,Locations or organizations and numbers related to an event or activity,0.8639,1.1065239756048344,7.369359839793681e-05
gpt2-xl_L0_U3279_D4,gpt2-xl,0,3279,4,"Medical devices and procedures, especially related to breathing and respiratory systems",0.8261000000000001,0.9206177962092884,0.0003820025200662
gpt2-xl_L0_U3279_D5,gpt2-xl,0,3279,5,Location or service availability in a certain area,0.8183,0.930868418934371,0.0005258391445084
gpt2-xl_L0_U3533_D1,gpt2-xl,0,3533,1,"Decorative or collectible boxes, often related to hobbies, events, or specific products",0.9871,3.614958707949204,1.1189682029062597e-07
gpt2-xl_L0_U3533_D2,gpt2-xl,0,3533,2,"Months, numbers, and second-hand collectibles, rentals, applications, retail spaces, or holiday gifts",0.7826,0.9841907026400134,0.002081881186828
gpt2-xl_L0_U3533_D3,gpt2-xl,0,3533,3,"Numbers, proper nouns, food, containers, storage, locations, time, events, legal terms, crime",0.7116,0.4001257439959584,0.0211793146095494
gpt2-xl_L0_U3533_D4,gpt2-xl,0,3533,4,"Commercial transactions, legal proceedings, and financial obligations",0.5367999999999999,-0.0618394659799022,0.6888766436425554
gpt2-xl_L0_U3533_D5,gpt2-xl,0,3533,5,"Transfer, storage, or placement of objects or people",0.5091,-0.1421742039940757,0.9214582658551812
gpt2-xl_L0_U3696_D1,gpt2-xl,0,3696,1,Colons in question and answer sections,0.1516999999999999,-0.9031074506796206,0.0001481935287535
gpt2-xl_L0_U3696_D2,gpt2-xl,0,3696,2,"A discussion of customer service experiences, religious figures and texts, TV series, sporting events, community events, restaurants, international summits, golf rules, summer camps, company performance, and international relations",0.1037999999999999,-0.9744581592528616,1.5893010198355352e-05
gpt2-xl_L0_U3696_D3,gpt2-xl,0,3696,3,"Color, color types/schemes, and color palettes, often with hex codes or RGB values",0.0173,-1.3136271475829688,1.453740964963758e-07
gpt2-xl_L0_U3696_D4,gpt2-xl,0,3696,4,"Technical specifications of audio or video equipment, locations related to caving or trekking, car models and their characteristics, and diseases and their symptoms",0.0012,-1.490536626304514,5.51884581828221e-08
gpt2-xl_L0_U3696_D5,gpt2-xl,0,3696,5,"Data categories, types of data, or databases",0.0002,-1.5612011456893586,5.191509412250656e-08
gpt2-xl_L0_U3943_D1,gpt2-xl,0,3943,1,"Social media, Donald Trump, Twitter, counsel, upbeat tweets",0.9996,4.550049724855798,5.2554338698023835e-08
gpt2-xl_L0_U3943_D2,gpt2-xl,0,3943,2,"Optimization, improvement, or enhancement of products, processes, or strategies, often in the context of specific industries or technologies",0.9937,3.2245908681986775,7.524850538994519e-08
gpt2-xl_L0_U3943_D3,gpt2-xl,0,3943,3,"Discussions of best practices or solutions, sometimes related to promoting or improving a product, process, or situation",0.9874,2.999145648819082,1.0990875963226585e-07
gpt2-xl_L0_U3943_D4,gpt2-xl,0,3943,4,"Emphasis on speed, quality, and efficiency in providing specialized services or solutions, often within a specific industry or market",0.9777,2.736300653996396,1.952008594804953e-07
gpt2-xl_L0_U3943_D5,gpt2-xl,0,3943,5,Clothing or fashion items,0.7827999999999999,0.8952388652707054,0.0020667085041301
gpt2-xl_L0_U4297_D1,gpt2-xl,0,4297,1,"Employee stock options, private equity, LIBOR adjustable-rate mortgages, insurance policies, corporate acquisitions, real estate sales by non-residents, charitable donations, dementia care, surrogacy, retirement, gilt funds, sovereign debt ratings, cryptocurrency investments, long-term care insurance, and banking products.",0.9973,7.927175916061388,6.047644888048207e-08
gpt2-xl_L0_U4297_D2,gpt2-xl,0,4297,2,"Discussions of financial, life, or career planning, resource allocation, and caregiving, often in the context of family or children",0.9707,2.35558674128548,2.934780751037229e-07
gpt2-xl_L0_U4297_D3,gpt2-xl,0,4297,3,"Qualities, characteristics, or specifications of animals or products",0.9222,0.8971739661628241,4.241263134157338e-06
gpt2-xl_L0_U4297_D4,gpt2-xl,0,4297,4,Ownership of property or membership status,0.9187,0.844041623792124,5.089512899954805e-06
gpt2-xl_L0_U4297_D5,gpt2-xl,0,4297,5,Processes related to beneficiation plants,0.8949,0.636098185956071,1.6943913430556762e-05
gpt2-xl_L0_U4405_D1,gpt2-xl,0,4405,1,"Installation of splashbacks in Pimlico SW1, Oracle ILOM configuration and administration, Linux drivers and kernel updates including NVIDIA and GeForce acceleration, Minecraft servers, heavy duty work boots, freight and merchandise transport and processing, Exchange server installation and administration, maritime personnel transfer basket assembly, auto and iPod system, chemical compounds like hydrogen and sodium, discounts on various items, hardware systems, laminated hardwood flooring, Panasonic CGR charger, software patches and updates, network management system updates, snakes in federally protected chimneys, naval and airborne equipment, Mercedes vehicles and equipment, and bacterial inoculation of soil",0.6707,0.2724475421355527,0.0630016899768107
gpt2-xl_L0_U4405_D2,gpt2-xl,0,4405,2,"Geopolitical events and entities involved, particularly government actions and agencies",0.1921,-1.4654483128400484,0.0007967205074645
gpt2-xl_L0_U4405_D3,gpt2-xl,0,4405,3,"Concepts of restriction, obligation, and lack of freedom or agency",0.0384,-1.9572256624259896,4.944704215402332e-07
gpt2-xl_L0_U4405_D4,gpt2-xl,0,4405,4,"Food and beverages, often with descriptions of ingredients or preparation methods",0.0198,-2.5964297833518444,1.6851578218297108e-07
gpt2-xl_L0_U4405_D5,gpt2-xl,0,4405,5,"Government regulations, requirements, and administration of programs, particularly those related to visas, licenses, medical systems, and international trade",0.0089,-2.2179257934886047,8.803222398386975e-08
gpt2-xl_L0_U4679_D1,gpt2-xl,0,4679,1,"Temporal references like ""early"", ""nowadays"", ""recent"", ""this"", ""next"", ""on"", ""new"", ""continuing"",  and years or months, often appearing at the beginning of the text",0.9944,5.635823489822864,7.212630106292319e-08
gpt2-xl_L0_U4679_D2,gpt2-xl,0,4679,2,"Numerical or quantitative values, including years, measurements, and counts, in advert-like text excerpts",0.9826,3.818724576978874,1.4623764006762738e-07
gpt2-xl_L0_U4679_D3,gpt2-xl,0,4679,3,"Positive feedback, thanks, or compliments",0.9731,2.946337945473644,2.553485896812999e-07
gpt2-xl_L0_U4679_D4,gpt2-xl,0,4679,4,"Temporal markers like dates, months, years, and words related to newness, gratitude, or positive sentiment",0.9307,1.963871772466032,2.7081171529554937e-06
gpt2-xl_L0_U4679_D5,gpt2-xl,0,4679,5,"Expressions of gratitude, current time references, or positive descriptions",0.8659999999999999,1.4792234046312822,6.693845912595541e-05
gpt2-xl_L0_U4842_D1,gpt2-xl,0,4842,1,"Hair, hairstyles, hair styling tools, hair products, hair problems, hair texture, wardrobe, clothes, outfits, style, recipes, ingredients",0.8326,0.9109054335763996,0.0002911714048767
gpt2-xl_L0_U4842_D2,gpt2-xl,0,4842,2,"Fitness, essays, digital skills training, product design and marketing, audits, internships, coaching, graphic design, academic assistance, data analytics, predictive modeling, computational chemistry, handwriting development, software documentation, development tools, intellectual property, brand reputation, web design, and real estate",0.6323,0.1865804369456814,0.1496346063638942
gpt2-xl_L0_U4842_D3,gpt2-xl,0,4842,3,"Computer hardware, software, car parts, or optical devices and systems",0.4854,-0.1826659765612678,0.8740487949771045
gpt2-xl_L0_U4842_D4,gpt2-xl,0,4842,4,"Mathematical concepts, computer graphics, clothing styles, musical artists and bands, self-improvement techniques, basketball teams and players, video game features, food, interpersonal relationships, Spanish language and culture, home maintenance, and space exploration",0.4238,-0.3465901433450231,0.4067474642645171
gpt2-xl_L0_U4842_D5,gpt2-xl,0,4842,5,"Professional and personal development, often in the context of teams, companies, or training programs",0.2333,-0.7814307404677997,0.0036717072487779
gpt2-xl_L0_U5085_D1,gpt2-xl,0,5085,1,"Rotating or spiraling motion or devices associated with travel, leisure activities, or household appliances",0.5608,0.5123447513497538,0.5080656448702974
gpt2-xl_L0_U5085_D2,gpt2-xl,0,5085,2,"Rope access, locations in Arkansas, educational courses, probation terms, Nigerian aid, hospital communication improvement, South American airline travel, Nigerian profession improvement, admission to a school nursery, Florida coast, business exhibition, cystic fibrosis research, dementia care, education tenure process, NHS consultation, biodiversity and ecosystems, gym workouts, network rerouting, Myanmar school construction, and US biodiversity conservation",0.4232,-0.2561839972381355,0.4030605211253151
gpt2-xl_L0_U5085_D3,gpt2-xl,0,5085,3,"Food, specific locations, and activities/routines, often involving a change in direction or state",0.3757,-0.2369125399645585,0.1758430378967351
gpt2-xl_L0_U5085_D4,gpt2-xl,0,5085,4,"A negative sentiment or concern regarding a specific course of action or situation, often related to travel, plans, or dangerous situations, particularly in international contexts",0.2675,-0.6299648498555767,0.0113261521787969
gpt2-xl_L0_U5085_D5,gpt2-xl,0,5085,5,"Methods, procedures, or sequences related to improvement, change, or progression",0.2404,-0.8155304179528166,0.004688110071889
gpt2-xl_L0_U5551_D1,gpt2-xl,0,5551,1,"International trade, diplomacy, and agreements between countries",0.9979,11.367669165295805,5.8304838232074765e-08
gpt2-xl_L0_U5551_D2,gpt2-xl,0,5551,2,"International organizations, governmental bodies, or councils adopting resolutions, agreements, charters, or conventions",0.9972,11.770021588373492,6.084592210256089e-08
gpt2-xl_L0_U5551_D3,gpt2-xl,0,5551,3,"Governance, membership, and financial aspects of transnational organizations, often in the context of agreements or frameworks",0.8774,2.0585704037147323,3.93756657837626e-05
gpt2-xl_L0_U5551_D4,gpt2-xl,0,5551,4,"Locations, travel, and proper names",0.1146,-0.8317070083118656,2.6896134341391172e-05
gpt2-xl_L0_U5551_D5,gpt2-xl,0,5551,5,"Food, tools/devices, and cosmetics/accessories",0.0241,-1.127613701079392,2.1689720508209757e-07
gpt2-xl_L0_U5781_D1,gpt2-xl,0,5781,1,"Dmitri Shostakovich's compositions and publications, Japanese savory pancake variations, mattresses for side sleepers, amplifier experiences, chemical properties of sulfuric acid, aspheric lens measurement techniques, a Maserati Levante SUV review, Mason jar taco salads, hardwood floor lamination, Gerry Weber's fashion designs, clothing features, shutters and their advantages, Panasonic charger details, non-stick bakeware benefits, pasta dishes with wild garlic pesto, teeth whitening advice, removing calcium from swimming pools, Mercedes X-Class pickup truck details, wiring diagrams, and benefits of avocados",0.8194000000000001,0.8131744882111295,0.0005028744491845
gpt2-xl_L0_U5781_D2,gpt2-xl,0,5781,2,"Days of the week, dates, numbers, roles/professions of people, and people's names, often in lists",0.6985,1.6729261956661912,0.0306141631185295
gpt2-xl_L0_U5781_D3,gpt2-xl,0,5781,3,"Male personal names, often in dialog",0.5481,0.0918188531786409,0.6006332685360625
gpt2-xl_L0_U5781_D4,gpt2-xl,0,5781,4,"Locations, people's names, titles/positions, days of the week, and specific numbers",0.5146999999999999,-0.0334681244292105,0.8731904515866403
gpt2-xl_L0_U5781_D5,gpt2-xl,0,5781,5,"Concepts of proper names, locations, and time, often related to occupations or roles",0.2124,-0.6810378834664411,0.0017316547846855
gpt2-xl_L0_U5960_D1,gpt2-xl,0,5960,1,"Beauty, jewelry, whales, footprints, fictional characters, teeth, ghosts, pop culture, photography, Indonesian traditions, makeup, Philippines, lollipops, travel, and costumes",0.9772,2.424045910712797,2.0100759771977238e-07
gpt2-xl_L0_U5960_D2,gpt2-xl,0,5960,2,Mental and/or physical manipulation or transformation,0.9576,2.025676685257661,6.200434077578498e-07
gpt2-xl_L0_U5960_D3,gpt2-xl,0,5960,3,"Mechanical fastening, anchoring, or attachment of components, often cylindrical, possibly involving screws, conveying, drilling, or adhesion",0.9532,2.003264667527796,7.936166224849237e-07
gpt2-xl_L0_U5960_D4,gpt2-xl,0,5960,4,"Legal agreements, qualifications, construction, exciting events or activities, dental procedures, historical or cultural attractions, and artistic endeavors",0.9373,1.657354031989415,1.9007027866556372e-06
gpt2-xl_L0_U5960_D5,gpt2-xl,0,5960,5,"Death, funerals, or sports competitions",0.9134,1.483387890781904,6.689944905427129e-06
gpt2-xl_L0_U6114_D1,gpt2-xl,0,6114,1,"Pregnancy, medical procedures/conditions, and numbers",0.9803,2.9237873011946127,1.6752531269623833e-07
gpt2-xl_L0_U6114_D2,gpt2-xl,0,6114,2,"Dates, numbers, and the word ""primary"" related to wiki pages and modules",0.8158,0.9358342610605704,0.0005817148354943
gpt2-xl_L0_U6114_D3,gpt2-xl,0,6114,3,"Numbers, proper nouns, and the months of the year",0.6565000000000001,0.3333198391189777,0.0882923995696044
gpt2-xl_L0_U6114_D4,gpt2-xl,0,6114,4,"Locations, especially states, and numbers potentially representing dates, years, or other numerical identifiers",0.6257,0.203321076088627,0.171024805958936
gpt2-xl_L0_U6114_D5,gpt2-xl,0,6114,5,"Product specifications, features, or descriptions of items such as vehicles, electronics, or medical devices",0.1728999999999999,-0.9484685940902838,0.0003664873754827
gpt2-xl_L0_U6314_D1,gpt2-xl,0,6314,1,"Mobile devices, applications, software, streaming services, locations, geographic restrictions, travel, airlines, flights, file management, customization, yoga practice, calendars, appointments, handwriting, mindfulness, music promotion, workflows, and bilingual dictionaries",0.9551,2.0140677566225507,7.135807296742775e-07
gpt2-xl_L0_U6314_D2,gpt2-xl,0,6314,2,"Products or features related to apparel, accessories, home decor, electronics, and tools",0.9294,1.9697085168121875,2.9019973965797388e-06
gpt2-xl_L0_U6314_D3,gpt2-xl,0,6314,3,"Clothing, accessories, food, hairstyles, home decor, entertainment, software applications, and celebrations, especially for weddings, babies, or other life events",0.9218,1.7854957596821417,4.330870831617086e-06
gpt2-xl_L0_U6314_D4,gpt2-xl,0,6314,4,"Events, entertainment, or services related to leisure activities, including transportation, venues, parties, weddings,  concerts, shows,  sports, restaurants, shopping, travel,  and accommodations",0.9059,1.4595271499474385,9.796742095117625e-06
gpt2-xl_L0_U6314_D5,gpt2-xl,0,6314,5,"Experiences, actions, and feelings related to entertainment, media, and technology, along with personal anecdotes or opinions",0.8845,1.0871607287950011,2.8084737713535175e-05
gpt2-xl_L20_U328_D1,gpt2-xl,20,328,1,"Communication methods and services, including mobile applications, internet access, telecommunications providers, and online resources",0.9997,5.5323831046878915,5.2233768642952676e-08
gpt2-xl_L20_U328_D2,gpt2-xl,20,328,2,"Titles, names, locations, and dates in bibliographic entries or citations",0.9959,4.470028829732881,6.585267925979239e-08
gpt2-xl_L20_U328_D3,gpt2-xl,20,328,3,"Expressions of enjoyment, opinions, or commentary, often related to entertainment, media, personal experiences, or hobbies",0.9949,4.386311496393735,6.997336708859392e-08
gpt2-xl_L20_U328_D4,gpt2-xl,20,328,4,Products or services with details or instructions,0.9908,3.942444333329337,8.963603734385179e-08
gpt2-xl_L20_U328_D5,gpt2-xl,20,328,5,"Locations, events, or items and additional information about them",0.983,3.635439574407055,1.428129547260732e-07
gpt2-xl_L20_U1004_D1,gpt2-xl,20,1004,1,"Superlative adjectives related to size, quantity, or quality in contexts of comparisons or rankings",0.997,5.205640894749123,6.15914410423738e-08
gpt2-xl_L20_U1004_D2,gpt2-xl,20,1004,2,"Times, periods, or points related to the start, beginning, first stage, onset, or early phases of events, things, or processes, or to initial steps or stages within a multi-stage process",0.8395999999999999,1.0636790726206495,0.0002162005344229
gpt2-xl_L20_U1004_D3,gpt2-xl,20,1004,3,"Ordinal numbers, especially in contexts of rankings, lists, and time sequences",0.7332,0.7002206002476118,0.0110821425412442
gpt2-xl_L20_U1004_D4,gpt2-xl,20,1004,4,"Times or dates, often in relation to a specific event or season",0.7031000000000001,0.5457434466363421,0.0269550824922799
gpt2-xl_L20_U1004_D5,gpt2-xl,20,1004,5,"Importance, influence, significance, effect, impact, especially when related to first times, most, best, biggest, or very large quantities or magnitudes",0.5824,0.2106849570970926,0.3696239060184607
gpt2-xl_L20_U1406_D1,gpt2-xl,20,1406,1,"Prepositions indicating purpose or target/recipient in relation to technical fields, jobs, or software systems",0.9997,5.393347701071357,5.2233768642952676e-08
gpt2-xl_L20_U1406_D2,gpt2-xl,20,1406,2,"Actions or behaviors related to promises, oaths, or commitments, especially in the context of support, encouragement, or aid",0.9948,4.398435619081397,7.039891265086138e-08
gpt2-xl_L20_U1406_D3,gpt2-xl,20,1406,3,"Membership in or association with groups, lists, or organizations",0.9783,3.2083069762892804,1.8844661366012337e-07
gpt2-xl_L20_U1406_D4,gpt2-xl,20,1406,4,"Product descriptions containing sizes, dimensions or other product specifications",0.9778,3.260820581266057,1.9405912859855177e-07
gpt2-xl_L20_U1406_D5,gpt2-xl,20,1406,5,"Locations, events, or items and their associated descriptive information",0.9771,3.1780535189185373,2.0218881350924727e-07
gpt2-xl_L20_U1424_D1,gpt2-xl,20,1424,1,"Health, education, or real estate discussions involving consultations, services, or information",0.9926,4.075187124533701,8.0420957012387e-08
gpt2-xl_L20_U1424_D2,gpt2-xl,20,1424,2,"Political figures, organizations, or events",0.9882,3.798613923740709,1.047729387353512e-07
gpt2-xl_L20_U1424_D3,gpt2-xl,20,1424,3,Products or services and their specifications,0.9785,3.1876705448142384,1.8624582401230322e-07
gpt2-xl_L20_U1424_D4,gpt2-xl,20,1424,4,Locations of businesses or organizations,0.9627,2.5130407420218517,4.644863289799888e-07
gpt2-xl_L20_U1424_D5,gpt2-xl,20,1424,5,"Body parts, personal care products, or furniture",0.8058000000000001,0.6703568057134067,0.0008651820394933
gpt2-xl_L20_U1790_D1,gpt2-xl,20,1790,1,"Business, commerce, services, employment, or roles/positions in organizations",0.9966,3.4853699133336846,6.3109121251999e-08
gpt2-xl_L20_U1790_D2,gpt2-xl,20,1790,2,"Relating to commercial products or services, often with a focus on sales, promotions, installations, or availability",0.9909,3.1132630308441804,8.909831500674287e-08
gpt2-xl_L20_U1790_D3,gpt2-xl,20,1790,3,"Commercial/sales information, especially related to products or services",0.987,2.831818854769102,1.1256720722705113e-07
gpt2-xl_L20_U1790_D4,gpt2-xl,20,1790,4,"Tools, methods, and resources related to specific activities or interests",0.9411,1.8931199183197975,1.5467040240037288e-06
gpt2-xl_L20_U1790_D5,gpt2-xl,20,1790,5,"Titles of entertainment, groups, or products",0.8383,1.140297309561592,0.0002285856504113
gpt2-xl_L20_U2325_D1,gpt2-xl,20,2325,1,"Fashion, garments, clothing, accessories, food, home decor, and makeup",0.9918,3.368984077607218,8.439729933242635e-08
gpt2-xl_L20_U2325_D2,gpt2-xl,20,2325,2,"Rights and usage of digital information, services, or products, often with respect to ownership and restrictions",0.9197,1.5379324863054404,4.831868183424859e-06
gpt2-xl_L20_U2325_D3,gpt2-xl,20,2325,3,Items related to protective or enhancing wearables,0.8845000000000001,1.2990749599555669,2.8084737713535175e-05
gpt2-xl_L20_U2325_D4,gpt2-xl,20,2325,4,"Conditional actions or situations and their potential outcomes, especially relating to rules, regulations, or personal choices",0.8488,1.0573340713770738,0.0001449739176738
gpt2-xl_L20_U2325_D5,gpt2-xl,20,2325,5,"Events, shows, or locations, often with a time or date, and sometimes including named people",0.8340000000000001,0.9926266069116289,0.000274461601565
gpt2-xl_L20_U2679_D1,gpt2-xl,20,2679,1,"Descriptions of, or information related to, events, items, or locations",0.9916,4.697463041241311,8.542074858998556e-08
gpt2-xl_L20_U2679_D2,gpt2-xl,20,2679,2,"Initial words or abbreviations of titles, topics, or names of products/companies",0.9906,4.63930576016227,9.072092372140264e-08
gpt2-xl_L20_U2679_D3,gpt2-xl,20,2679,3,"Settings, assignments, or actions related to software or applications",0.98,3.736444852424065,1.7051373505020158e-07
gpt2-xl_L20_U2679_D4,gpt2-xl,20,2679,4,"Locations, times/dates, quantities, and directives/questions",0.9708,2.884703182487804,2.917850118663145e-07
gpt2-xl_L20_U2679_D5,gpt2-xl,20,2679,5,Products or services with descriptions and/or characteristics,0.9701,3.3447372356255043,3.038374269923775e-07
gpt2-xl_L20_U2700_D1,gpt2-xl,20,2700,1,"Initial words or phrases indicating a question, statement, or topic related to business, technology, finance, or personal services, often followed by additional clarifying information",1.0,6.445503391399962,5.1283388415865974e-08
gpt2-xl_L20_U2700_D2,gpt2-xl,20,2700,2,"Years, numeric identifiers, or other measurements relating to time or quantity",0.9992,5.665294506342755,5.3855793014570985e-08
gpt2-xl_L20_U2700_D3,gpt2-xl,20,2700,3,"Expressions of opinions, thoughts, or beliefs",0.9992,5.934263513079341,5.3855793014570985e-08
gpt2-xl_L20_U2700_D4,gpt2-xl,20,2700,4,Products or items and their descriptions,0.9955,4.985181174723499,6.747193827297039e-08
gpt2-xl_L20_U2700_D5,gpt2-xl,20,2700,5,"Titles, names, locations, dates, or monetary values",0.9728,3.220572615183207,2.598390798377413e-07
gpt2-xl_L20_U2869_D1,gpt2-xl,20,2869,1,"Infants, food, and crafting",0.997,4.89920917995661,6.15914410423738e-08
gpt2-xl_L20_U2869_D2,gpt2-xl,20,2869,2,Personal updates,0.9921,4.5516054769157535,8.288435478107308e-08
gpt2-xl_L20_U2869_D3,gpt2-xl,20,2869,3,New product or service offerings or introductions,0.9912,4.387426147158304,8.750382036173956e-08
gpt2-xl_L20_U2869_D4,gpt2-xl,20,2869,4,"Locations, events, or items of interest",0.9456,2.3965238787731677,1.2091578490245916e-06
gpt2-xl_L20_U2869_D5,gpt2-xl,20,2869,5,"Possession, ability, original or replacement items, or description of an item",0.7293,1.5863475909708988,0.0125034143158974
gpt2-xl_L20_U2988_D1,gpt2-xl,20,2988,1,"Actions related to food preparation, often involving specific time durations or ingredient quantities",0.8099,0.8105546138581577,0.0007362253603835
gpt2-xl_L20_U2988_D2,gpt2-xl,20,2988,2,"Self-reflection, introspection, advice-seeking, or instructions related to self-improvement, often involving a second person or past experiences",0.7847999999999999,0.7005433627577379,0.0019204649184313
gpt2-xl_L20_U2988_D3,gpt2-xl,20,2988,3,"Personal introductions, especially when mentioning a person's origin, profession, or affiliation, followed by additional contextual information about their life and work",0.7019,0.415893508095649,0.0278712371573386
gpt2-xl_L20_U2988_D4,gpt2-xl,20,2988,4,"Questions about services, subscriptions, or memberships, including duration, costs, requirements, access, and how to apply",0.5915,0.1072453369182779,0.3190947932573784
