layer,unit,description
20,5424,"Activation occurs on words related to activities involving the organization or management of information or resources, specifically terms like ""have"" and ""and,"" particularly in financial or gambling contexts."
20,8476,"the word ""the"" in contexts related to teams, rankings, leagues, or models, specifically when mentioning notable entities or performance contexts"
20,3032,"mathematical or programming context, particularly involving object or model configurations; feature indications such as _length and days indicating placeholders or parameters in code."
20,7860,"the term ""lyophilized"" in scientific or technical contexts, and ""directly"" in various contexts such as messaging, delivery, or data handling, as well as the word ""to"" in scheduling or ticket sales."
20,8631,"conditional conjunctions like ""If"", ""but"", ""and"", ""because"", "","" signaling a potential outcome or contrasting idea"
20,8256,"phrases indicating a quantitative adjustment or reduction (e.g., down, way, tonearest) and phrases involving rounding or comparisons (e.g., ""take it down"", ""paper consumption 'tonearest"", ""say how many"")."
20,11626,activation occurs when the text references JavaFX or when it talks about similar tools related to technical implementations.
20,9836,"activation occurs from future tense verbs indicating definite intention (e.g., ""will,"" ""we'll,"" ""a"")."
20,8552,"beer, related venues, and activities"
20,10046,"context involving scientific concepts, mathematical or graphical representations and technical terms"
20,10617,"the token ""arc"" or ""debon"" appears in contexts related to artistic or cultured subjects."
30,6472,"phrases indicating feelings or states of being, such as ""feels,"" ""is,"" and ""yang"""
30,129,"tokens indicating a role or function, especially when introducing a specific identity or profession."
30,46,"""the"" and ""and"" when referring to visitors or locals"
30,2589,"the token ""in"" at various points indicating inclusivity or existence within a context"
30,14030,"tokens ""make"", ""match"", ""line"", and ""look"" in various contexts related to personal attributes or tasks; also the word ""break"" referring to a separation or division."
30,1911,Russian text containing medical or chemical context.
30,1721,"phrase ""Merhaba! Nasıl yardımcı olabilirim?"" in responses to greetings"
30,10713,"words highlighted include ""k"" when referencing something that can be cold or ""tk"" relating to project or context identification, suggesting focus on terms related to temperature or project labeling."
30,14157,"activation from specific definite articles in various contexts; e.g., ""the"" and ""of""; activation from specific proper nouns starting with ""M"" or related to middle positions in phrases."
30,715,"activating noun phrases with generic or specific terms (e.g., ""les"", ""m mám"", ""víno"") and key interrogative phrases (e.g., ""Jaké"", ""Quel est"")."
30,6892,"narrative discussing crime, vice, or characters associated with immorality and societal issues; typically includes judgments or contrasts regarding moral behavior."
30,3828,"activates on tokens expressing detail or specific information about subjects like NFTs, fauna, or personal experience with significant terms like ""fisc"", ""f"", ""enf"", or ""f"" at the end of the word."
30,2324,"tokens ""М"" and ""-m"" activating within a mixture of academic, technical, and informational contexts."
30,4971,"mentions of ""and"" and ""to"" in positive contexts"
30,9947,"context words related to ""S"" or ""o"", Slovak words like ""naj"", ""od"", and ""ora"", and context relevant to the discussion theme."
30,557,"phrases that indicate differentiation or distinction, often followed by ""that,"" ""this,"" or ""such"""
30,5245,"The delimiter '{{' causes activation surrounding certain elements, primarily names or phrases denoting individuals or entities, particularly with emphasis or special significance, potentially including translations or names in non-Latin scripts."
30,3461,presence of Hebrew and Arabic characters and punctuation marks
30,12035,"the token ""178"" in context, representing the year, primarily related to discussions about historical events or figures."
30,738,"presence of """" or """" to denote conversation-style text separation"
