layer,unit,explanation,AUC,U1,p,MAD
5,17724,"Establishing an agreement or receiving a benefit, often involving allocation of resources and actions taken to secure these, also mentioning the involvement of institutions or people that have been successful in the past",0.4995,5005.0,0.9282872148296558,-0.031622777473641686
5,25929,"Legal disclaimers and limitations, including conditions for use, warranty exclusions, liability restrictions, and termination clauses, and pertaining to the use of a website, or a specific product or service",0.42839999999999995,5716.0,0.34491368945014234,-0.2897002481073611
5,16554,Structures or facilities designed for human use,0.63305,3669.5,6.443303591948289e-06,0.5979632945548342
5,28636,"A reference to car modifications involving body alterations and a planned race car aesthetic, potentially including a component used for aerodynamics",0.4775,5225.0,0.4938601417411973,-0.20153770801974316
5,7238,Product recalls and potential consumer health hazards due to manufacturing defects or contamination,0.5,5000.0,1.0,0.0
5,31286,"The act of establishing or the characteristics of a specific area, especially in an economic context, where rules and regulations are modified to encourage economic growth, often including tax benefits, relaxed labor laws, and simplified administrative procedures, and the effect it has on the population, as well as the impact on wealth distribution",0.5,5000.0,1.0,0.0
5,288,Technical specifications and configurations,0.9461999999999998,538.0,4.1210890653138653e-53,20.133461347619022
5,22011,Athletic competitions and events,0.47050000000000003,5295.0,0.4298937584182839,-0.2318734286253843
5,17855,"Medical institutions with multiple locations, patient care, and specialized departments",0.5,5000.0,1.0,0.0
5,16845,"Culinary instructions with various components involved in the preparation of food, recipes for baked goods and dishes, and elements such as [lemon], [fish], and [apples].",0.54845,4515.5,1.252165557712487e-06,0.6093916370402513
5,26939,"Activities and events related to leisure and celebration, often involving themes of travel, music, festivals, or sports, with an emphasis on enjoyment and participation",0.4495,5505.0,0.2910487353169162,-0.2374179809750946
5,30319,"Accounts of financial reports, statistics, and sales data, especially those related to a specific company, and the reporting of death and funeral arrangements with specific dates, places, and names, and the act of hunting.",0.4835,5165.0,0.5606258462719326,-0.12506189277850513
5,28227,Methods of intake and effect of substances on a subject,0.499,5010.0,0.8930729598349715,-0.04253721351347928
5,330,"Introductions to new individuals within a community, marked by greetings and declarations of origin, followed by the sharing of personal information and interests or nicknames, indicating a sense of belonging or the establishment of a connection",0.4995,5005.0,0.9282872148296558,-0.03162277874335071
5,16103,"Products or items related to automobiles, workplace, or small objects, often with a retro or classic theme, and that are potentially used as gifts or accessories",0.5,5000.0,1.0,0.0
5,24156,"The texts describe environments and locations that are characterized by activity and energy, such as a city area, resort, or a business location, which are portrayed as lively and full of movement",0.4975,5025.0,0.8262064843112343,-0.0598103408193648
10,9814,"Adherence to established rules, processes, or established methods with an emphasis on acting to meet certain requirements, with one instance being in a professional setting",0.4685,5315.0,0.4136823991083811,-0.22593703848986815
10,900,"Laws or regulations and their requirements for something that needs to be transported, packaged, or insured.",0.497,5030.0,0.8091954183402301,-0.06422561872914452
10,17243,"The concept of feedback or opinions given by other individuals regarding products or services, especially in the context of consumer choices, their evaluation, and decision-making processes",0.48940000000000006,5106.0,0.8971977169250318,0.1355094669919532
10,27166,"Discussions of video games that emphasize specific gameplay, settings, and release information, sometimes including developer and publisher details, as well as the availability for download or free play.",0.4955,5045.0,0.7658208103784006,-0.09121530171105839
10,8624,"Images or items associated with a downloadable format, often in the context of being free, along with the date and source of the upload, and instructions to download and rate it",0.4995,5005.0,0.9282872148296558,-0.031622778594606445
10,27300,"Comparisons between different programming languages, focusing on their features, benefits, and drawbacks, as well as their advantages for particular use cases and environments",0.276,7240.0,0.007322865807197151,-0.5712450545247006
10,8757,"Presentations or collections of images or designs, often in the context of galleries or online displays, and sometimes associated with specific themes like designs, resumes, or furniture, or involving artists and exhibitions.",0.4665,5335.0,0.3982401790450114,-0.1801713956994899
10,14924,Acts of rescue in emergency situations,0.4855,5145.0,0.5863123963515849,-0.12719817192005428
10,21878,"Investments in projects or infrastructure, often associated with education or government, and involving bonds or funding.",0.5,5000.0,1.0,0.0
10,5239,Medical conditions and care,0.4855,5145.0,0.5863124354350355,-0.12298362756697279
10,4369,"Descriptions of collaborative events, networking opportunities, and business partnerships",0.4875,5125.0,0.6142769704415647,-0.10654424181706229
10,10235,"Mentions of specific creative works and their contexts alongside various related labels or tags, suggesting content categorization or reference.",0.4955,5045.0,0.7658207853945895,-0.0889391556711712
10,9896,"The business or product is being assessed based on its unique qualities, quality or performance, or its innovation, with the intention of being preferred over similar offerings",0.372,6280.0,0.06812406587108047,-0.4585065011919486
10,9242,"References to the names of companies, airlines, or entities related to media, entertainment, and commercial products, sometimes involving the names of the products themselves",0.4975,5025.0,0.8262064843112343,-0.06462863086989576
10,20265,"Alternative energy sources and renewable energy technologies, especially to those related to reduction of dependence on fossil fuels, environmental and climate impact.",0.488,5120.0,0.6216830513880378,-0.10802489415552151
10,1319,"Information related to public events, exhibitions, or contests along with the involved locations and individuals",0.4995,5005.0,0.9282872148296558,-0.031622776562159366
10,15562,A surname in the context of a sports report concerning a soccer match,0.428,5720.0,0.1972906918164926,-0.294717067567214
10,1690,"Mobile devices and their associated vulnerabilities during travel, emphasizing the need for precautions like enabling built-in security features, disabling location tracking, data backup, and OS updates to prevent loss, theft, or information compromise while away from familiar locations!",0.034999999999999976,9650.0,4.0467160678166534e-07,-1.5105962650155242
10,24347,"Awards or distinctions earned in a game or application, often indicated with a title and level number",0.025000000000000022,9750.0,2.2793855039360737e-07,-0.7946037691928146
10,15235,"Discussion of practices or actions taken by people in positions of power, authority, or influence, which are connected to specific types of organizations, institutions, or relationships, and the behaviors related to the power that they possess or the rules that they are expected to follow, and the consequences of their actions or behaviors!",0.449,5510.0,0.2884214019439968,-0.306679483928341
