model,layer,unit,desc_id_1,desc_id_2,desc_id_3,desc_id_4,desc_id_5,description_1,description_2,description_3,description_4,description_5,auc_1,mad_1,p_1,auc_2,mad_2,p_2,auc_3,mad_3,p_3,auc_4,mad_4,p_4,auc_5,mad_5,p_5,sim_12,sim_13,sim_14,sim_15,sim_23,sim_24,sim_25,sim_34,sim_35,sim_45,mean_similarity,min_similarity,max_similarity,std_similarity
Llama-3.1-8B-Instruct,0,8039,Llama-3.1-8B-Instruct_L0_U8039_D1,Llama-3.1-8B-Instruct_L0_U8039_D2,Llama-3.1-8B-Instruct_L0_U8039_D3,Llama-3.1-8B-Instruct_L0_U8039_D4,Llama-3.1-8B-Instruct_L0_U8039_D5,"Technical specifications of various products, including measurements, materials, functionality, and operating conditions","Months, years, names of people or organizations, places, deadlines, and monetary amounts related to resumes, residencies/fellowships, home inspections, business ventures, subscriptions, exhibitions, academic studies, construction projects, or legal cases","Entertainment, media, software, and events, especially in relation to specific dates, locations, or versions","Linguistics, religion, digital media, contemporary art, health","Footwear, nachos, beds, whales, alcoholic beverages, closets, reeds, balloons, warranties, spas, dinnerware, scenic views, appliances, deals, detergents, costumes, saunas, sinks, and trombones",0.9972,1.461984584807566,6.084592210256089e-08,0.9712,0.918313642880628,2.851065911726855e-07,0.9711,0.9282052330205016,2.8676222214266605e-07,0.9375,0.7353784187541873,1.880274345485669e-06,0.7055,0.3808038421894655,0.0252005254222189,0.28840816020965576,0.3556528091430664,0.21275851130485535,0.3176920413970947,0.4199829697608948,0.29082101583480835,0.32044005393981934,0.49407094717025757,0.42141467332839966,0.3193112909793854,0.34405524730682374,0.21275851130485535,0.49407094717025757,0.07708630710017952
Llama-3.1-8B-Instruct,0,9782,Llama-3.1-8B-Instruct_L0_U9782_D1,Llama-3.1-8B-Instruct_L0_U9782_D2,Llama-3.1-8B-Instruct_L0_U9782_D3,Llama-3.1-8B-Instruct_L0_U9782_D4,Llama-3.1-8B-Instruct_L0_U9782_D5,"Solar flares, chimney and dryer vent animal intrusions, mineral and ore processing, malfunctioning computer systems, drill bits, Florida maps, portable lift assist devices for injury prevention, TrackIR flight simulator head tracking, airline services, Chevrolet Silverado trucks, pituitary gland disorders, and soybean inoculants","Jamaican Patois, migrant flows to Europe, Cuban-American assimilation in Florida, digital marketing internships, religious objections to contraception mandates, surgically facilitated orthodontic therapy, conversational skills, abolition of the death penalty for drug offences, cost of living in Singapore, Parseltongue in Harry Potter, flash fiction writing contests, economic growth in the Philippines, medical leadership training within the NHS, nurse anesthetist training and career prospects, marketing analytics in the e-commerce sector, rural broadband development in Kansas, land surveyor induction ceremony in Nigeria, mental health counseling graduate degree at UTEP","Types of fluffy, usually small, animal figurines, often with additional features like ribbons or printed cardboard parts, and their characteristics, along with different uses for them like advertising","Real estate, legal, financial, or medical services in Florida, or more generally services related to accounts, memberships, procedures, leases, property, invoices, or shipping","Themes of royalty, music, and religion",0.9837,3.853554414092643,1.3700553560075196e-07,0.4534,-0.1815488338552254,0.612050966786212,0.3662,-0.239673573515829,0.1450707424811803,0.3340999999999999,-0.4378827899111905,0.0707802062780615,0.1139,-2.035204371342174,2.6004899990084055e-05,0.42954708425841004,0.3216132915500789,0.3587596523392098,0.22644186694746826,0.22318962216377258,0.3723738193511963,0.3154120445251465,0.3095683455467224,0.3031127452850342,0.2838628590106964,0.3143881330977735,0.22318962216377258,0.42954708425841004,0.05981628380180347
Llama-3.1-8B-Instruct,0,9811,Llama-3.1-8B-Instruct_L0_U9811_D1,Llama-3.1-8B-Instruct_L0_U9811_D2,Llama-3.1-8B-Instruct_L0_U9811_D3,Llama-3.1-8B-Instruct_L0_U9811_D4,Llama-3.1-8B-Instruct_L0_U9811_D5,"Self-perception, actions, and emotional responses, particularly in relation to others and societal expectations","Business, travel, and locations related to partnerships or agreements","Abilities, possibilities, and circumstances related to real estate, housing, or properties, often with a locational or regional context","Capability, ability, potential, resources, or opportunity",First-person plural pronouns in the context of sharing information or opinions,0.8339,0.7904013462784222,0.0002756246970975,0.7532,0.6388588257935723,0.0058157649606601,0.7299,0.481935365845779,0.0122747556082632,0.6998,0.4690101410093408,0.029539175166574,0.5118,0.0102214549900404,0.8981389566042375,0.348377743460075,0.37916070222854614,0.4762972309412231,0.48442980647087097,0.471364678659161,0.4400203895544572,0.3127047829207913,0.5785089386398243,0.32399338483810425,0.4139534584311577,0.4228811116144211,0.3127047829207913,0.5785089386398243,0.07935079727058159
Llama-3.1-8B-Instruct,0,10081,Llama-3.1-8B-Instruct_L0_U10081_D1,Llama-3.1-8B-Instruct_L0_U10081_D2,Llama-3.1-8B-Instruct_L0_U10081_D3,Llama-3.1-8B-Instruct_L0_U10081_D4,Llama-3.1-8B-Instruct_L0_U10081_D5,"Themes of locking, statistics, and events, often involving specific names or locations","Discussions of long-term strategies, often related to healthcare, business, education, or personal development","Numbers, predominantly related to versions, statistics, and dates, often appearing in the context of software, games, or scientific publications","Repairing or improving something related to a house, with the highlighted spans referencing a specific part or aspect of that improvement","Discussions of personal care, hobbies, or products, sometimes with brands or locations",0.6531,0.3607434439934268,0.0954283466324402,0.3392,-0.4001365764562277,0.0798904438949825,0.1568,-0.819673595296076,0.0001851109508637,0.1506,-0.8693861541818115,0.0001411973302221,0.0083,-2.0522780321083993,8.490753085334326e-08,0.4522589253418695,0.5748044766310902,0.32513692901762814,0.48871923949477813,0.38365602493286133,0.3719896972179413,0.5850214609490965,0.3057279884815216,0.3861741193429167,0.41125289134664067,0.4284741752756345,0.3057279884815216,0.5850214609490965,0.09118389928893347
Llama-3.1-8B-Instruct,0,10095,Llama-3.1-8B-Instruct_L0_U10095_D1,Llama-3.1-8B-Instruct_L0_U10095_D2,Llama-3.1-8B-Instruct_L0_U10095_D3,Llama-3.1-8B-Instruct_L0_U10095_D4,Llama-3.1-8B-Instruct_L0_U10095_D5,"Second-person pronouns in the context of agreements, often related to financial or legal matters, such as leases, contracts, or services","Agreement between an individual and another entity or entities, or between multiple entities","Agreements, contracts, or legal documents, especially those related to services, sales, or business arrangements","Agreements or contracts, often involving financial aspects, in politics, business, or entertainment",Agreements or legal processes,0.9998,16.018698352019264,5.191509412250656e-08,0.1957,-1.45903223171123,0.000917380090473,0.0315,-2.5991784866599112,3.332179227771613e-07,0.0275,-2.990246928220465,2.6440580190198573e-07,0.0106,-3.3785148014417485,9.750217847066736e-08,0.5760736041090969,0.6616781555606046,0.6546821594238281,0.5695968866348267,0.6224346160888672,0.6605118113908715,0.5832221681839876,0.7687570590521672,0.7443170103837855,0.6723010540008545,0.651357452482889,0.5695968866348267,0.7687570590521672,0.06394962840619431
Llama-3.1-8B-Instruct,0,10609,Llama-3.1-8B-Instruct_L0_U10609_D1,Llama-3.1-8B-Instruct_L0_U10609_D2,Llama-3.1-8B-Instruct_L0_U10609_D3,Llama-3.1-8B-Instruct_L0_U10609_D4,Llama-3.1-8B-Instruct_L0_U10609_D5,"Items related to books, toys, and other retail products, frequently appearing with sets or collections","Recounting an event, often involving detailed descriptions of specific actions, locations, or individuals","Enjoyment, ease,  creation, improvement, online training,  information seeking, and building","Police brutality, airline services, job postings, workshops or programs, unauthorized disclosure of information, road accidents, forklift training, exploitation of young girls, unclaimed property laws, tourism, socialist party, protests and land acquisitions, inspections, office space, employment law, health care reform, building funds, and dental care","Medical conditions, technical specifications, or academic citations",0.6322,0.376536514244931,0.1499427153590988,0.4734,-0.0831813353122595,0.7723869104933703,0.4691,-0.111835844950637,0.7367944656899885,0.2764999999999999,-0.6121408427325294,0.0149157004227971,0.1503999999999999,-1.0711717759016968,0.0001399591959548,0.37909722328186035,0.33668994903564453,0.2924906313419342,0.3828176925887059,0.32159727811813354,0.3130355477333069,0.4079814012061722,0.4026045799255371,0.3624815724801087,0.3770432843540148,0.3575839160065418,0.2924906313419342,0.4079814012061722,0.03744632880085632
Llama-3.1-8B-Instruct,0,10851,Llama-3.1-8B-Instruct_L0_U10851_D1,Llama-3.1-8B-Instruct_L0_U10851_D2,Llama-3.1-8B-Instruct_L0_U10851_D3,Llama-3.1-8B-Instruct_L0_U10851_D4,Llama-3.1-8B-Instruct_L0_U10851_D5,"Sports game summaries, car racing recaps, and descriptions of political and social events, often including specific numerical data like scores, rankings, years, or amounts of money","Concepts related to technical specifications, benchmarks, and standards, often appearing with version numbers or specific products/technologies","Discussions of difficult situations, romantic relationships, health, and career paths","Speleology, views from rooms, geological formations, community events, dykes, wilderness, international trade and diplomacy, distances and travel routes, limousine rental services, childcare, tickets for shows, family reunions, historical buildings, theaters, hotels, obituaries, performing arts seasons, ecology and evolution, fishing trips","Appliances, vehicles, sea creatures, or RNA viruses",0.6926,0.5371772722598562,0.03592516992286,0.48,-0.0783009556739953,0.8279362566399692,0.4647,-0.097049775714104,0.7009503045375028,0.4557,-0.1369376276318698,0.6297418577890953,0.2406,-0.764942518808579,0.0047201149778738,0.45479604871296675,0.38938140869140625,0.388899564743042,0.2964493124618923,0.33281836910138374,0.3042638418517212,0.3441690504550934,0.43915683031082153,0.359956632851262,0.36702264449067856,0.36769137036702676,0.2964493124618923,0.45479604871296675,0.04954085538633591
Llama-3.1-8B-Instruct,0,12733,Llama-3.1-8B-Instruct_L0_U12733_D1,Llama-3.1-8B-Instruct_L0_U12733_D2,Llama-3.1-8B-Instruct_L0_U12733_D3,Llama-3.1-8B-Instruct_L0_U12733_D4,Llama-3.1-8B-Instruct_L0_U12733_D5,"Themes of social commentary, policy, or legal proceedings","Causality, provision, use cases, defined entities, results, resumes, ultimate concern, addition of services, influence, withheld or returned money, explanations of differences within suites of documents, small size, webpage origin, abstract syntax tree (AST), PayPal, zero values in fields, fine details, sustained injuries involving permanent damage, and subscribed footers","Punctuation, conjunctions, and adverbs","Changes in occupation or activity, and specific places or locations","Locations, proper nouns, and numbers in relation to events, discussions, or announcements",0.9975,3.8761487951604,5.974401278504218e-08,0.9931,3.147263754541545,7.802852549033112e-08,0.9914,3.119324061425085,8.645621026039616e-08,0.9896,2.778680437756901,9.63388623641681e-08,0.9838,2.480268967965842,1.3619478339782246e-07,0.374070026035904,0.36266058683395386,0.29917753939762526,0.40420896385854777,0.4431280229611392,0.3895664942781364,0.4275039222831849,0.3243562981870003,0.5356404462074977,0.5517544088656454,0.41120667089086343,0.29917753939762526,0.5517544088656454,0.07801835397400464
Llama-3.1-8B-Instruct,0,12865,Llama-3.1-8B-Instruct_L0_U12865_D1,Llama-3.1-8B-Instruct_L0_U12865_D2,Llama-3.1-8B-Instruct_L0_U12865_D3,Llama-3.1-8B-Instruct_L0_U12865_D4,Llama-3.1-8B-Instruct_L0_U12865_D5,"Navigational instructions, positive feedback or excitement, or descriptions of design choices","Discussions of locations, times, and activities","Pieces of music, vehicle parts, digital content availability, pacemaker information, microscope reticles, polyester fabrics, airplane flights, or hospital room alarms","Time periods, events, or entities relating to times or dates","Discussions about procedures, instructions, or plans, often related to computer systems, websites, or legal processes",0.9776,2.558146317356116,1.963490817159607e-07,0.9469,1.819363106893704,1.125657171320246e-06,0.7988,0.8501275286325481,0.0011347628122104,0.7266999999999999,0.742173617887742,0.0135384313153398,0.4286999999999999,-0.2622928349811096,0.4376031819995847,0.46794408559799194,0.43934604164040414,0.3010615110397339,0.44495308727305694,0.423583622192361,0.5720654129981995,0.5270737691477684,0.4067471865860939,0.35860034823417664,0.40071499939471555,0.4342090064104502,0.3010615110397339,0.5720654129981995,0.07371699704030271
Llama-3.1-8B-Instruct,0,13480,Llama-3.1-8B-Instruct_L0_U13480_D1,Llama-3.1-8B-Instruct_L0_U13480_D2,Llama-3.1-8B-Instruct_L0_U13480_D3,Llama-3.1-8B-Instruct_L0_U13480_D4,Llama-3.1-8B-Instruct_L0_U13480_D5,"Tours and travel, especially hiking and events relating to fashion and beauty",Events or situations happening after a specific point in time or after another event has occurred,"Material properties, specifications, product manufacturing or improvement, especially those related to construction, vehicles, electronics, or chemical materials","New situations, projects, or initiatives, often related to education, technology, or policy, along with discussion of the benefits and usefulness of these new ventures","Numbers, wiki, sites, and assignments",0.2546,-0.8645332572589596,0.0075173286727432,0.0657,-2.304607005391483,2.233934490350943e-06,0.0129,-3.0337559076178375,1.1189682029062597e-07,0.0075,-3.225251924322764,8.09078951042024e-08,0.0072,-3.1097048005182697,7.945558028199424e-08,0.29616668820381165,0.30060774087905884,0.35374251879796337,0.30129218101501465,0.2622227668762207,0.42034563896980126,0.2748713493347168,0.3891201085376681,0.327240914106369,0.4203325855533735,0.3345942492273998,0.2622227668762207,0.42034563896980126,0.05535648510303522
Llama-3.1-8B-Instruct,20,99,Llama-3.1-8B-Instruct_L20_U99_D1,Llama-3.1-8B-Instruct_L20_U99_D2,Llama-3.1-8B-Instruct_L20_U99_D3,Llama-3.1-8B-Instruct_L20_U99_D4,Llama-3.1-8B-Instruct_L20_U99_D5,"Legal cases, music festivals, software development, and caving expeditions","Concepts of capability, high quality, and comprehensiveness related to education, training, and practice, often with a focus on examinations or assessments","Accommodation, services, and products","Experiences, observations, or opinions related to personal life events, often including specific details or examples","Locations, events, or creative works and their associated attributes",0.8694000000000001,1.1867860875527143,5.722878202662697e-05,0.7727999999999999,0.7799166784692878,0.0029632200012882,0.6788000000000001,0.4988952485408154,0.051483612717613,0.4234,-0.1681867314087076,0.4042872714777109,0.3231,-0.441317324004263,0.0540137021056863,0.36574144771797346,0.4072345197200775,0.40849238634109497,0.4708713310437609,0.3992425323435653,0.34976662996213326,0.3830194980467325,0.362396776676178,0.520818679283937,0.4937635961911928,0.41613473973266457,0.34976662996213326,0.520818679283937,0.05597555262386508
Llama-3.1-8B-Instruct,20,3032,Llama-3.1-8B-Instruct_L20_U3032_D1,Llama-3.1-8B-Instruct_L20_U3032_D2,Llama-3.1-8B-Instruct_L20_U3032_D3,Llama-3.1-8B-Instruct_L20_U3032_D4,Llama-3.1-8B-Instruct_L20_U3032_D5,"Locations, times, dates, and numbers related to events or incidents, often involving birds, sports teams, or legal proceedings","Music-related publications, travel itineraries, charitable projects, home repairs, traffic accidents, antique books, website development, vehicle safety technologies, medical information, audio equipment specifications, vehicle reviews, and discussions of neurological diseases","Numbers, especially years or dates, related to events, activities, topics, or information, often in the context of website updates, conferences, or reports","Use of, consumption of, creation of, or discussion of food or food-related items","Concepts of marketing, advertising, and audience engagement, often in the context of online platforms",0.8419,1.1336225824186663,0.0001958181555779,0.6712,0.4882741710083955,0.0622337175290549,0.5592,0.2053879586127575,0.5193023650311186,0.4333,-0.1272607126184355,0.4677582400599092,0.3315,-0.407464705171281,0.0664743963152553,0.37537337835152673,0.6889152116230016,0.4067426081453207,0.32407012581825256,0.4170535355114642,0.4119481899831021,0.3680271663633412,0.38193042493696194,0.3987947762730858,0.43746689334709166,0.42103223103531484,0.32407012581825256,0.6889152116230016,0.09415588444061962
